599	17	276	0	0
599	17	20	0	0
599	15	408	0	0
599	3	362	0	0
599	21	430	0	0
599	25	379	0	0
599	17	340	0	0
599	3	564	0	0
599	15	382	0	0
599	17	194	0	0
599	17	550	0	0
599	10	386	0	0
599	15	407	0	0
599	25	3	0	0
599	16	92	0	0
599	3	291	0	0
97	17	13	0	0
97	3	12	0	0
97	17	363	0	0
97	17	388	0	0
97	17	406	0	0
223	17	15	0	0
223	25	42	0	0
223	3	1	0	0
223	19	497	0	0
215	25	47	0	0
215	17	390	0	0
151	17	195	0	0
151	7	92	0	0
149	10	163	0	0
149	17	279	0	0
600	17	396	0	0
439	17	395	0	0
237	17	377	0	0
237	25	56	0	0
237	4	6	0	0
150	17	532	0	0
303	17	389	0	0
137	17	391	0	0
410	17	280	0	0
233	1	581	0	0
170	1	586	0	0
170	6	562	0	0
170	19	153	0	0
170	18	86	0	0
170	18	86	0	0
170	2	262	0	0
170	11	26	0	0
170	7	480	0	0
170	18	350	0	0
170	18	140	0	0
170	2	139	0	0
170	18	204	0	0
170	15	154	0	0
170	8	180	0	0
170	2	178	0	0
170	2	333	0	0
170	12	209	0	0
170	15	208	0	0
170	6	508	0	0
170	19	138	0	0
170	21	419	0	0
170	18	353	0	0
170	2	105	0	0
170	2	240	0	0
170	20	542	0	0
185	1	556	0	0
231	1	444	0	0
414	1	586	0	0
198	1	589	0	0
118	1	581	0	0
118	2	85	0	0
597	1	373	0	0
426	1	274	0	0
355	1	586	0	0
242	1	304	0	0
284	1	373	0	0
202	1	162	0	0
119	1	581	0	0
602	1	274	0	0
197	1	358	0	0
197	2	73	0	0
197	2	73	0	0
197	2	73	0	0
197	2	112	0	0
197	2	112	0	0
197	24	253	0	0
197	15	573	0	0
197	21	461	0	0
197	19	214	0	0
197	16	325	0	0
197	18	404	0	0
197	2	488	0	0
197	21	487	0	0
197	18	248	0	0
197	12	62	0	0
197	21	341	0	0
197	17	509	0	0
197	18	159	0	0
197	11	252	0	0
197	11	290	0	0
197	21	545	0	0
197	18	472	0	0
197	2	70	0	0
197	15	243	0	0
197	15	428	0	0
197	11	405	0	0
197	21	460	0	0
197	21	374	0	0
217	1	162	0	0
217	2	205	0	0
